faixa_etaria,orientsex,idgen,intersex,raca,idade,ondmora,defic,qualdefic,escol,ufnasc
49 a 53 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,47.0,ACARI,Não,Sem informação,Ensino superior completo,Rio de Janeiro
28 a 33 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,29.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Ceará
28 a 33 anos,Gay/ Bicha,Travesti,Não,Negra,29.0,MARÉ,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,22.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Branca,25.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,19.0,MARÉ,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
18 a 22 anos,Bissexual,Homem Cisgênero,Não,Negra,19.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
28 a 33 anos,Pansexual,Não binária,Não,Branca,27.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Pós-graduação incompleta,Minas gerais
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,23.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Bissexual,Mulher Cisgênera,Não,Branca,34.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Sim,Branca,21.0,CIDADE DE DEUS,Não tenho certeza,Sem informação,Ensino fundamental incompleto,Pernambuco
39 a 43 anos,Heterossexual,Mulher trans,Não,Negra,38.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental completo,Rio de Janeiro
34 a 38 anos,Pansexual,Mulher trans,Não,Negra,32.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
,Bissexual,Mulher trans,Sem informação,Negra,-1.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
44 a 48 anos,Heterossexual,Travesti,Não,Negra,45.0,CIDADE DE DEUS,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Não binária,Não,Branca,22.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Nenhuma dessas opções,Mulher trans,Não,Negra,27.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
